Category,Year,Emmisions
2030 Target,2000,
2030 Target,2001,
2030 Target,2002,
2030 Target,2003,
2030 Target,2004,
2030 Target,2005,
2030 Target,2006,
2030 Target,2007,
2030 Target,2008,
2030 Target,2009,
2030 Target,2010,
2030 Target,2011,
2030 Target,2012,
2030 Target,2013,
2030 Target,2014,
2030 Target,2015,
2030 Target,2016,
2030 Target,2017,
2030 Target,2018,
2030 Target,2019,
2030 Target,2020,
2030 Target,2021,
2030 Target,2022,
2030 Target,2023,
2030 Target,2024,
2030 Target,2025,
2030 Target,2026,
2030 Target,2027,
2030 Target,2028,
2030 Target,2029,
2030 Target,2030,351.29
2030 Target,2031,
2030 Target,2032,
2030 Target,2033,
2030 Target,2034,
2030 Target,2035,
2030 Target,2036,
2030 Target,2037,
2030 Target,2038,
2030 Target,2039,
2030 Target,2040,
2030 Target,2041,
2030 Target,2042,
2030 Target,2043,
2030 Target,2044,
2030 Target,2045,
2030 Target,2046,
2030 Target,2047,
2030 Target,2048,
2030 Target,2049,
2030 Target,2050,
2050 Target,2000,
2050 Target,2001,
2050 Target,2002,
2050 Target,2003,
2050 Target,2004,
2050 Target,2005,
2050 Target,2006,
2050 Target,2007,
2050 Target,2008,
2050 Target,2009,
2050 Target,2010,
2050 Target,2011,
2050 Target,2012,
2050 Target,2013,
2050 Target,2014,
2050 Target,2015,
2050 Target,2016,
2050 Target,2017,
2050 Target,2018,
2050 Target,2019,
2050 Target,2020,
2050 Target,2021,
2050 Target,2022,
2050 Target,2023,
2050 Target,2024,
2050 Target,2025,
2050 Target,2026,
2050 Target,2027,
2050 Target,2028,
2050 Target,2029,
2050 Target,2030,
2050 Target,2031,
2050 Target,2032,
2050 Target,2033,
2050 Target,2034,
2050 Target,2035,
2050 Target,2036,
2050 Target,2037,
2050 Target,2038,
2050 Target,2039,
2050 Target,2040,
2050 Target,2041,
2050 Target,2042,
2050 Target,2043,
2050 Target,2044,
2050 Target,2045,
2050 Target,2046,
2050 Target,2047,
2050 Target,2048,
2050 Target,2049,
2050 Target,2050,0
Baseline,2000,
Baseline,2001,
Baseline,2002,
Baseline,2003,
Baseline,2004,
Baseline,2005,
Baseline,2006,
Baseline,2007,
Baseline,2008,
Baseline,2009,
Baseline,2010,
Baseline,2011,
Baseline,2012,
Baseline,2013,
Baseline,2014,
Baseline,2015,
Baseline,2016,
Baseline,2017,
Baseline,2018,
Baseline,2019,
Baseline,2020,
Baseline,2021,
Baseline,2022,
Baseline,2023,465.23
Baseline,2024,459.11
Baseline,2025,452.15
Baseline,2026,445.46
Baseline,2027,430.56
Baseline,2028,417.92
Baseline,2029,401.02
Baseline,2030,386.04
Baseline,2031,379.46
Baseline,2032,359.16
Baseline,2033,338.62
Baseline,2034,327.81
Baseline,2035,312.7
Baseline,2036,
Baseline,2037,
Baseline,2038,
Baseline,2039,
Baseline,2040,
Baseline,2041,
Baseline,2042,
Baseline,2043,
Baseline,2044,
Baseline,2045,
Baseline,2046,
Baseline,2047,
Baseline,2048,
Baseline,2049,
Baseline,2050,
Emmisions Budget Trajectory,2000,
Emmisions Budget Trajectory,2001,
Emmisions Budget Trajectory,2002,
Emmisions Budget Trajectory,2003,
Emmisions Budget Trajectory,2004,
Emmisions Budget Trajectory,2005,
Emmisions Budget Trajectory,2006,
Emmisions Budget Trajectory,2007,
Emmisions Budget Trajectory,2008,
Emmisions Budget Trajectory,2009,
Emmisions Budget Trajectory,2010,
Emmisions Budget Trajectory,2011,
Emmisions Budget Trajectory,2012,
Emmisions Budget Trajectory,2013,
Emmisions Budget Trajectory,2014,
Emmisions Budget Trajectory,2015,
Emmisions Budget Trajectory,2016,
Emmisions Budget Trajectory,2017,
Emmisions Budget Trajectory,2018,
Emmisions Budget Trajectory,2019,
Emmisions Budget Trajectory,2020,538.04
Emmisions Budget Trajectory,2021,519.37
Emmisions Budget Trajectory,2022,500.69
Emmisions Budget Trajectory,2023,482.01
Emmisions Budget Trajectory,2024,463.34
Emmisions Budget Trajectory,2025,444.66
Emmisions Budget Trajectory,2026,425.99
Emmisions Budget Trajectory,2027,407.31
Emmisions Budget Trajectory,2028,388.64
Emmisions Budget Trajectory,2029,369.96
Emmisions Budget Trajectory,2030,351.29
Emmisions Budget Trajectory,2031,
Emmisions Budget Trajectory,2032,
Emmisions Budget Trajectory,2033,
Emmisions Budget Trajectory,2034,
Emmisions Budget Trajectory,2035,
Emmisions Budget Trajectory,2036,
Emmisions Budget Trajectory,2037,
Emmisions Budget Trajectory,2038,
Emmisions Budget Trajectory,2039,
Emmisions Budget Trajectory,2040,
Emmisions Budget Trajectory,2041,
Emmisions Budget Trajectory,2042,
Emmisions Budget Trajectory,2043,
Emmisions Budget Trajectory,2044,
Emmisions Budget Trajectory,2045,
Emmisions Budget Trajectory,2046,
Emmisions Budget Trajectory,2047,
Emmisions Budget Trajectory,2048,
Emmisions Budget Trajectory,2049,
Emmisions Budget Trajectory,2050,
Historical Emissions,2000,566.36
Historical Emissions,2001,586.64
Historical Emissions,2002,582.52
Historical Emissions,2003,591.49
Historical Emissions,2004,584.85
Historical Emissions,2005,616.29
Historical Emissions,2006,626.79
Historical Emissions,2007,641.52
Historical Emissions,2008,630.25
Historical Emissions,2009,630.91
Historical Emissions,2010,613.33
Historical Emissions,2011,594.03
Historical Emissions,2012,579.08
Historical Emissions,2013,561.1
Historical Emissions,2014,555.82
Historical Emissions,2015,540.91
Historical Emissions,2016,512.48
Historical Emissions,2017,509.81
Historical Emissions,2018,514.23
Historical Emissions,2019,505.86
Historical Emissions,2020,494.22
Historical Emissions,2021,464.77
Historical Emissions,2022,461.65
Historical Emissions,2023,465.23
Historical Emissions,2024,
Historical Emissions,2025,
Historical Emissions,2026,
Historical Emissions,2027,
Historical Emissions,2028,
Historical Emissions,2029,
Historical Emissions,2030,
Historical Emissions,2031,
Historical Emissions,2032,
Historical Emissions,2033,
Historical Emissions,2034,
Historical Emissions,2035,
Historical Emissions,2036,
Historical Emissions,2037,
Historical Emissions,2038,
Historical Emissions,2039,
Historical Emissions,2040,
Historical Emissions,2041,
Historical Emissions,2042,
Historical Emissions,2043,
Historical Emissions,2044,
Historical Emissions,2045,
Historical Emissions,2046,
Historical Emissions,2047,
Historical Emissions,2048,
Historical Emissions,2049,
Historical Emissions,2050,
With Additional Measures,2000,
With Additional Measures,2001,
With Additional Measures,2002,
With Additional Measures,2003,
With Additional Measures,2004,
With Additional Measures,2005,
With Additional Measures,2006,
With Additional Measures,2007,
With Additional Measures,2008,
With Additional Measures,2009,
With Additional Measures,2010,
With Additional Measures,2011,
With Additional Measures,2012,
With Additional Measures,2013,
With Additional Measures,2014,
With Additional Measures,2015,
With Additional Measures,2016,
With Additional Measures,2017,
With Additional Measures,2018,
With Additional Measures,2019,
With Additional Measures,2020,
With Additional Measures,2021,
With Additional Measures,2022,
With Additional Measures,2023,465.23
With Additional Measures,2024,459.11
With Additional Measures,2025,452.07
With Additional Measures,2026,444.81
With Additional Measures,2027,428.65
With Additional Measures,2028,408.34
With Additional Measures,2029,379.4
With Additional Measures,2030,357.52
With Additional Measures,2031,353.71
With Additional Measures,2032,337.44
With Additional Measures,2033,320.25
With Additional Measures,2034,308.43
With Additional Measures,2035,292.27
With Additional Measures,2036,
With Additional Measures,2037,
With Additional Measures,2038,
With Additional Measures,2039,
With Additional Measures,2040,
With Additional Measures,2041,
With Additional Measures,2042,
With Additional Measures,2043,
With Additional Measures,2044,
With Additional Measures,2045,
With Additional Measures,2046,
With Additional Measures,2047,
With Additional Measures,2048,
With Additional Measures,2049,
With Additional Measures,2050,
