State,Year,Primary_Fuel,Production_Amount
Western Australia,2012-13,Solar PV,449.50
Western Australia,2012-13,Solar hotwater,3.20
Western Australia,2013-14,Black coal,8000.00
Western Australia,2013-14,Brown coal,0.00
Western Australia,2013-14,Crude oil and NGL,13030.50
Western Australia,2013-14,Naturally occurring LPG,1419.10
Western Australia,2013-14,Natural gas a,39470.70
Western Australia,2013-14,Ethane,0.00
Western Australia,2013-14,Liquid/gas biofuels,1.60
Western Australia,2013-14,Wood,480.30
Western Australia,2013-14,Bagasse,0.00
Western Australia,2013-14,Hydro-electricity,205.40
Western Australia,2013-14,Wind b,1578.80
Western Australia,2013-14,Solar PV,520.00
Western Australia,2013-14,Solar hotwater,3.30
Western Australia,2014-15,Black coal,8000.00
Western Australia,2014-15,Brown coal,0.00
Western Australia,2014-15,Crude oil and NGL,12222.90
Western Australia,2014-15,Naturally occurring LPG,1304.40
Western Australia,2014-15,Natural gas a,39973.20
Western Australia,2014-15,Ethane,0.00
Western Australia,2014-15,Liquid/gas biofuels,1.60
Western Australia,2014-15,Wood,493.80
Western Australia,2014-15,Bagasse,0.00
Western Australia,2014-15,Hydro-electricity,206.10
Western Australia,2014-15,Wind b,1643.20
Western Australia,2014-15,Solar PV,646.00
Western Australia,2014-15,Solar hotwater,3.80
Western Australia,2015-16,Black coal,8000.00
Western Australia,2015-16,Brown coal,0.00
Western Australia,2015-16,Crude oil and NGL,12584.30
Western Australia,2015-16,Naturally occurring LPG,971.80
Western Australia,2015-16,Natural gas a,46135.80
Western Australia,2015-16,Ethane,0.00
Western Australia,2015-16,Liquid/gas biofuels,1.20
Western Australia,2015-16,Wood,494.10
Western Australia,2015-16,Bagasse,0.00
Western Australia,2015-16,Hydro-electricity,217.00
Western Australia,2015-16,Wind b,1476.50
Western Australia,2015-16,Solar PV,789.10
Western Australia,2015-16,Solar hotwater,3.80
Western Australia,2016-17,Black coal,6806.40
Western Australia,2016-17,Brown coal,0.00
Western Australia,2016-17,Crude oil and NGL,11061.90
Western Australia,2016-17,Naturally occurring LPG,962.20
Western Australia,2016-17,Natural gas a,55633.50
Western Australia,2016-17,Ethane,0.00
Western Australia,2016-17,Liquid/gas biofuels,1.60
Western Australia,2016-17,Wood,559.00
Western Australia,2016-17,Bagasse,0.00
Western Australia,2016-17,Hydro-electricity,212.60
Western Australia,2016-17,Wind b,1616.70
Western Australia,2016-17,Solar PV,985.40
Western Australia,2016-17,Solar hotwater,4.00
Western Australia,2017-18,Black coal,6680.00
Western Australia,2017-18,Brown coal,0.00
Western Australia,2017-18,Crude oil and NGL,10862.00
Western Australia,2017-18,Naturally occurring LPG,938.50
Western Australia,2017-18,Natural gas a,70227.20
Western Australia,2017-18,Ethane,0.00
Western Australia,2017-18,Liquid/gas biofuels,1.80
Western Australia,2017-18,Wood,497.00
Western Australia,2017-18,Bagasse,0.00
Western Australia,2017-18,Hydro-electricity,220.80
Western Australia,2017-18,Wind b,1587.00
Western Australia,2017-18,Solar PV,1242.00
Western Australia,2017-18,Solar hotwater,4.20
Western Australia,2018-19,Black coal,6274.00
Western Australia,2018-19,Brown coal,0.00
Western Australia,2018-19,Crude oil and NGL,13709.10
Western Australia,2018-19,Naturally occurring LPG,1026.30
Western Australia,2018-19,Natural gas a,86196.20
Western Australia,2018-19,Ethane,0.00
Western Australia,2018-19,Liquid/gas biofuels,1.60
Western Australia,2018-19,Wood,509.10
Western Australia,2018-19,Bagasse,0.00
Western Australia,2018-19,Hydro-electricity,217.00
Western Australia,2018-19,Wind b,1851.20
Western Australia,2018-19,Solar PV,1561.20
Western Australia,2018-19,Solar hotwater,4.40
Western Australia,2019-20,Black coal,6195.60
Western Australia,2019-20,Brown coal,0.00
Western Australia,2019-20,Crude oil and NGL,17060.50
Western Australia,2019-20,Naturally occurring LPG,1035.30
Western Australia,2019-20,Natural gas a,88506.70
Western Australia,2019-20,Ethane,0.00
Western Australia,2019-20,Liquid/gas biofuels,1.40
Western Australia,2019-20,Wood,456.60
Western Australia,2019-20,Bagasse,0.00
Western Australia,2019-20,Hydro-electricity,205.50
Western Australia,2019-20,Wind b,2122.50
Western Australia,2019-20,Solar PV,2010.00
Western Australia,2019-20,Solar hotwater,4.60
Western Australia,2020-21,Black coal,5008.00
Western Australia,2020-21,Brown coal,0.00
Western Australia,2020-21,Crude oil and NGL,15602.40
Western Australia,2020-21,Naturally occurring LPG,929.20
Western Australia,2020-21,Natural gas a,83097.10
Western Australia,2020-21,Ethane,0.00
Western Australia,2020-21,Liquid/gas biofuels,1.40
Western Australia,2020-21,Wood,482.80
Western Australia,2020-21,Bagasse,0.00
Western Australia,2020-21,Hydro-electricity,128.00
Western Australia,2020-21,Wind b,3140.50
Western Australia,2020-21,Solar PV,2785.10
Western Australia,2020-21,Solar hotwater,4.90
Western Australia,2021-22,Black coal,5202.40
Western Australia,2021-22,Brown coal,0.00
Western Australia,2021-22,Crude oil and NGL,16396.00
Western Australia,2021-22,Naturally occurring LPG,965.60
Western Australia,2021-22,Natural gas a,90503.60
Western Australia,2021-22,Ethane,0.00
Western Australia,2021-22,Liquid/gas biofuels,1.80
Western Australia,2021-22,Wood,494.00
Western Australia,2021-22,Bagasse,0.00
Western Australia,2021-22,Hydro-electricity,76.50
Western Australia,2021-22,Wind b,3676.70
Western Australia,2021-22,Solar PV,3508.60
Western Australia,2021-22,Solar hotwater,5.20
Western Australia,2022-23,Black coal,5008.00
Western Australia,2022-23,Brown coal,0.00
Western Australia,2022-23,Crude oil and NGL,14362.90
Western Australia,2022-23,Naturally occurring LPG,932.10
Western Australia,2022-23,Natural gas a,97656.90
Western Australia,2022-23,Ethane,0.00
Western Australia,2022-23,Liquid/gas biofuels,1.50
Western Australia,2022-23,Wood,509.20
Western Australia,2022-23,Bagasse,0.00
Western Australia,2022-23,Hydro-electricity,71.30
Western Australia,2022-23,Wind b,3378.60
Western Australia,2022-23,Solar PV,4067.00
Western Australia,2022-23,Solar hotwater,5.40
South Australia,2000-01,Black coal,0.00
South Australia,2000-01,Brown coal,3160.00
South Australia,2000-01,Crude oil and NGL,906.00
South Australia,2000-01,Naturally occurring LPG,816.00
South Australia,2000-01,Natural gas a,3432.00
South Australia,2000-01,Ethane,344.00
South Australia,2000-01,Liquid/gas biofuels,0.00
South Australia,2000-01,Wood,824.00
South Australia,2000-01,Bagasse,0.00
South Australia,2000-01,Hydro-electricity,0.00
South Australia,2000-01,Wind b,0.00
South Australia,2000-01,Solar PV,0.00
South Australia,2000-01,Solar hotwater,0.20
South Australia,2001-02,Black coal,0.00
South Australia,2001-02,Brown coal,3365.00
South Australia,2001-02,Crude oil and NGL,868.00
South Australia,2001-02,Naturally occurring LPG,768.00
South Australia,2001-02,Natural gas a,3257.00
South Australia,2001-02,Ethane,269.00
South Australia,2001-02,Liquid/gas biofuels,0.00
South Australia,2001-02,Wood,551.00
South Australia,2001-02,Bagasse,0.00
South Australia,2001-02,Hydro-electricity,0.00
South Australia,2001-02,Wind b,0.00
South Australia,2001-02,Solar PV,0.00
South Australia,2001-02,Solar hotwater,0.20
South Australia,2002-03,Black coal,0.00
South Australia,2002-03,Brown coal,3240.00
South Australia,2002-03,Crude oil and NGL,866.30
South Australia,2002-03,Naturally occurring LPG,783.30
South Australia,2002-03,Natural gas a,3018.90
South Australia,2002-03,Ethane,242.80
South Australia,2002-03,Liquid/gas biofuels,2.00
South Australia,2002-03,Wood,787.10
South Australia,2002-03,Bagasse,0.00
South Australia,2002-03,Hydro-electricity,0.00
South Australia,2002-03,Wind b,0.00
South Australia,2002-03,Solar PV,0.00
South Australia,2002-03,Solar hotwater,0.20
South Australia,2003-04,Black coal,0.00
South Australia,2003-04,Brown coal,3208.00
South Australia,2003-04,Crude oil and NGL,683.50
South Australia,2003-04,Naturally occurring LPG,826.70
South Australia,2003-04,Natural gas a,2180.70
South Australia,2003-04,Ethane,207.40
South Australia,2003-04,Liquid/gas biofuels,2.00
South Australia,2003-04,Wood,741.90
South Australia,2003-04,Bagasse,0.00
South Australia,2003-04,Hydro-electricity,0.00
South Australia,2003-04,Wind b,0.00
South Australia,2003-04,Solar PV,0.00
South Australia,2003-04,Solar hotwater,0.20
South Australia,2004-05,Black coal,0.00
South Australia,2004-05,Brown coal,3381.30
South Australia,2004-05,Crude oil and NGL,679.40
South Australia,2004-05,Naturally occurring LPG,663.40
South Australia,2004-05,Natural gas a,1706.80
South Australia,2004-05,Ethane,225.00
South Australia,2004-05,Liquid/gas biofuels,1.00
South Australia,2004-05,Wood,711.00
South Australia,2004-05,Bagasse,0.00
South Australia,2004-05,Hydro-electricity,0.00
South Australia,2004-05,Wind b,0.00
South Australia,2004-05,Solar PV,0.00
South Australia,2004-05,Solar hotwater,0.20
South Australia,2005-06,Black coal,0.00
South Australia,2005-06,Brown coal,3478.70
South Australia,2005-06,Crude oil and NGL,757.60
South Australia,2005-06,Naturally occurring LPG,596.60
South Australia,2005-06,Natural gas a,1390.50
South Australia,2005-06,Ethane,269.50
South Australia,2005-06,Liquid/gas biofuels,1.00
South Australia,2005-06,Wood,734.10
South Australia,2005-06,Bagasse,0.00
South Australia,2005-06,Hydro-electricity,0.00
South Australia,2005-06,Wind b,0.00
South Australia,2005-06,Solar PV,0.00
South Australia,2005-06,Solar hotwater,0.20
South Australia,2006-07,Black coal,0.00
South Australia,2006-07,Brown coal,3880.00
South Australia,2006-07,Crude oil and NGL,1412.00
South Australia,2006-07,Naturally occurring LPG,550.50
South Australia,2006-07,Natural gas a,1412.00
South Australia,2006-07,Ethane,249.20
South Australia,2006-07,Liquid/gas biofuels,0.90
South Australia,2006-07,Wood,774.60
South Australia,2006-07,Bagasse,0.00
South Australia,2006-07,Hydro-electricity,0.00
South Australia,2006-07,Wind b,0.00
South Australia,2006-07,Solar PV,0.00
South Australia,2006-07,Solar hotwater,0.50
South Australia,2007-08,Black coal,0.00
South Australia,2007-08,Brown coal,3874.30
South Australia,2007-08,Crude oil and NGL,1603.60
South Australia,2007-08,Naturally occurring LPG,557.20
South Australia,2007-08,Natural gas a,1289.70
South Australia,2007-08,Ethane,258.60
South Australia,2007-08,Liquid/gas biofuels,0.60
South Australia,2007-08,Wood,753.60
South Australia,2007-08,Bagasse,0.00
South Australia,2007-08,Hydro-electricity,0.00
South Australia,2007-08,Wind b,0.00
South Australia,2007-08,Solar PV,0.00
South Australia,2007-08,Solar hotwater,0.50
South Australia,2008-09,Black coal,0.00
South Australia,2008-09,Brown coal,3619.30
South Australia,2008-09,Crude oil and NGL,2257.10
South Australia,2008-09,Naturally occurring LPG,559.50
South Australia,2008-09,Natural gas a,1688.50
South Australia,2008-09,Ethane,256.10
South Australia,2008-09,Liquid/gas biofuels,1.30
South Australia,2008-09,Wood,738.40
South Australia,2008-09,Bagasse,0.00
South Australia,2008-09,Hydro-electricity,4.10
South Australia,2008-09,Wind b,2020.20
South Australia,2008-09,Solar PV,23.40
South Australia,2008-09,Solar hotwater,0.60
South Australia,2009-10,Black coal,0.00
South Australia,2009-10,Brown coal,3795.50
South Australia,2009-10,Crude oil and NGL,1297.70
South Australia,2009-10,Naturally occurring LPG,0.00
South Australia,2009-10,Natural gas a,1397.00
South Australia,2009-10,Ethane,166.20
South Australia,2009-10,Liquid/gas biofuels,1.30
South Australia,2009-10,Wood,675.20
South Australia,2009-10,Bagasse,0.00
South Australia,2009-10,Hydro-electricity,4.20
South Australia,2009-10,Wind b,2029.00
South Australia,2009-10,Solar PV,50.70
South Australia,2009-10,Solar hotwater,0.70
South Australia,2010-11,Black coal,0.00
South Australia,2010-11,Brown coal,3670.50
South Australia,2010-11,Crude oil and NGL,305.50
South Australia,2010-11,Naturally occurring LPG,0.00
South Australia,2010-11,Natural gas a,2368.20
South Australia,2010-11,Ethane,116.20
South Australia,2010-11,Liquid/gas biofuels,1.40
South Australia,2010-11,Wood,649.00
South Australia,2010-11,Bagasse,0.00
South Australia,2010-11,Hydro-electricity,4.10
South Australia,2010-11,Wind b,2890.30
South Australia,2010-11,Solar PV,182.80
South Australia,2010-11,Solar hotwater,0.80
South Australia,2011-12,Black coal,0.00
South Australia,2011-12,Brown coal,2867.00
South Australia,2011-12,Crude oil and NGL,448.00
South Australia,2011-12,Naturally occurring LPG,0.00
South Australia,2011-12,Natural gas a,2171.50
South Australia,2011-12,Ethane,170.90
South Australia,2011-12,Liquid/gas biofuels,1.40
South Australia,2011-12,Wood,601.80
South Australia,2011-12,Bagasse,0.00
South Australia,2011-12,Hydro-electricity,4.40
South Australia,2011-12,Wind b,3126.50
South Australia,2011-12,Solar PV,398.10
South Australia,2011-12,Solar hotwater,0.80
South Australia,2012-13,Black coal,0.00
South Australia,2012-13,Brown coal,2481.10
South Australia,2012-13,Crude oil and NGL,769.10
South Australia,2012-13,Naturally occurring LPG,0.00
South Australia,2012-13,Natural gas a,2725.40
South Australia,2012-13,Ethane,163.70
South Australia,2012-13,Liquid/gas biofuels,1.50
South Australia,2012-13,Wood,541.30
South Australia,2012-13,Bagasse,0.00
South Australia,2012-13,Hydro-electricity,5.90
South Australia,2012-13,Wind b,3313.50
South Australia,2012-13,Solar PV,558.60
South Australia,2012-13,Solar hotwater,0.80
South Australia,2013-14,Black coal,0.00
South Australia,2013-14,Brown coal,2000.00
South Australia,2013-14,Crude oil and NGL,1356.80
South Australia,2013-14,Naturally occurring LPG,0.00
South Australia,2013-14,Natural gas a,2783.40
South Australia,2013-14,Ethane,173.70
South Australia,2013-14,Liquid/gas biofuels,1.70
South Australia,2013-14,Wood,564.80
South Australia,2013-14,Bagasse,0.00
South Australia,2013-14,Hydro-electricity,5.90
South Australia,2013-14,Wind b,4150.30
South Australia,2013-14,Solar PV,679.30
South Australia,2013-14,Solar hotwater,0.80
South Australia,2014-15,Black coal,0.00
South Australia,2014-15,Brown coal,4000.00
South Australia,2014-15,Crude oil and NGL,1188.20
South Australia,2014-15,Naturally occurring LPG,0.00
South Australia,2014-15,Natural gas a,2953.50
South Australia,2014-15,Ethane,185.80
South Australia,2014-15,Liquid/gas biofuels,2.00
South Australia,2014-15,Wood,579.70
South Australia,2014-15,Bagasse,0.00
South Australia,2014-15,Hydro-electricity,10.80
South Australia,2014-15,Wind b,4291.90
South Australia,2014-15,Solar PV,804.00
South Australia,2014-15,Solar hotwater,0.90
South Australia,2015-16,Black coal,0.00
South Australia,2015-16,Brown coal,0.00
South Australia,2015-16,Crude oil and NGL,1069.40
South Australia,2015-16,Naturally occurring LPG,0.00
South Australia,2015-16,Natural gas a,2106.70
South Australia,2015-16,Ethane,0.00
South Australia,2015-16,Liquid/gas biofuels,1.80
South Australia,2015-16,Wood,604.10
South Australia,2015-16,Bagasse,0.00
South Australia,2015-16,Hydro-electricity,6.50
South Australia,2015-16,Wind b,4398.00
South Australia,2015-16,Solar PV,897.50
South Australia,2015-16,Solar hotwater,0.90
South Australia,2016-17,Black coal,0.00
South Australia,2016-17,Brown coal,0.00
South Australia,2016-17,Crude oil and NGL,905.20
South Australia,2016-17,Naturally occurring LPG,0.00
South Australia,2016-17,Natural gas a,1880.60
South Australia,2016-17,Ethane,0.00
South Australia,2016-17,Liquid/gas biofuels,1.30
South Australia,2016-17,Wood,629.00
South Australia,2016-17,Bagasse,0.00
South Australia,2016-17,Hydro-electricity,3.50
South Australia,2016-17,Wind b,4413.70
South Australia,2016-17,Solar PV,1004.80
South Australia,2016-17,Solar hotwater,1.00
South Australia,2017-18,Black coal,0.00
South Australia,2017-18,Brown coal,0.00
South Australia,2017-18,Crude oil and NGL,1141.00
South Australia,2017-18,Naturally occurring LPG,138.50
South Australia,2017-18,Natural gas a,1924.20
South Australia,2017-18,Ethane,0.00
South Australia,2017-18,Liquid/gas biofuels,1.10
South Australia,2017-18,Wood,644.70
South Australia,2017-18,Bagasse,0.00
South Australia,2017-18,Hydro-electricity,6.40
South Australia,2017-18,Wind b,5673.90
South Australia,2017-18,Solar PV,1183.40
South Australia,2017-18,Solar hotwater,1.00
South Australia,2018-19,Black coal,0.00
South Australia,2018-19,Brown coal,0.00
South Australia,2018-19,Crude oil and NGL,1515.90
South Australia,2018-19,Naturally occurring LPG,306.90
South Australia,2018-19,Natural gas a,2054.70
South Australia,2018-19,Ethane,0.00
South Australia,2018-19,Liquid/gas biofuels,1.10
South Australia,2018-19,Wood,616.30
South Australia,2018-19,Bagasse,0.00
South Australia,2018-19,Hydro-electricity,8.80
South Australia,2018-19,Wind b,5711.00
South Australia,2018-19,Solar PV,1723.80
South Australia,2018-19,Solar hotwater,1.00
South Australia,2019-20,Black coal,0.00
South Australia,2019-20,Brown coal,0.00
South Australia,2019-20,Crude oil and NGL,1772.80
South Australia,2019-20,Naturally occurring LPG,276.00
South Australia,2019-20,Natural gas a,2260.70
South Australia,2019-20,Ethane,0.00
South Australia,2019-20,Liquid/gas biofuels,1.30
South Australia,2019-20,Wood,564.80
South Australia,2019-20,Bagasse,0.00
South Australia,2019-20,Hydro-electricity,10.30
South Australia,2019-20,Wind b,5812.90
South Australia,2019-20,Solar PV,2345.40
South Australia,2019-20,Solar hotwater,1.10
South Australia,2020-21,Black coal,0.00
South Australia,2020-21,Brown coal,0.00
South Australia,2020-21,Crude oil and NGL,1630.60
South Australia,2020-21,Naturally occurring LPG,271.10
South Australia,2020-21,Natural gas a,2203.30
South Australia,2020-21,Ethane,0.00
South Australia,2020-21,Liquid/gas biofuels,1.70
South Australia,2020-21,Wood,578.10
South Australia,2020-21,Bagasse,0.00
South Australia,2020-21,Hydro-electricity,3.50
South Australia,2020-21,Wind b,5867.10
South Australia,2020-21,Solar PV,3012.50
South Australia,2020-21,Solar hotwater,1.20
South Australia,2021-22,Black coal,0.00
South Australia,2021-22,Brown coal,0.00
South Australia,2021-22,Crude oil and NGL,1054.40
South Australia,2021-22,Naturally occurring LPG,230.00
South Australia,2021-22,Natural gas a,2002.10
South Australia,2021-22,Ethane,0.00
South Australia,2021-22,Liquid/gas biofuels,1.70
South Australia,2021-22,Wood,591.50
South Australia,2021-22,Bagasse,0.00
South Australia,2021-22,Hydro-electricity,2.50
South Australia,2021-22,Wind b,6254.80
South Australia,2021-22,Solar PV,3601.70
South Australia,2021-22,Solar hotwater,1.30
South Australia,2022-23,Black coal,0.00
South Australia,2022-23,Brown coal,0.00
South Australia,2022-23,Crude oil and NGL,933.10
South Australia,2022-23,Naturally occurring LPG,246.80
South Australia,2022-23,Natural gas a,1845.40
South Australia,2022-23,Ethane,0.00
South Australia,2022-23,Liquid/gas biofuels,1.80
South Australia,2022-23,Wood,572.60
South Australia,2022-23,Bagasse,0.00
South Australia,2022-23,Hydro-electricity,1.50
South Australia,2022-23,Wind b,6799.60
South Australia,2022-23,Solar PV,4469.00
South Australia,2022-23,Solar hotwater,1.40
Tasmania,2000-01,Black coal,339.00
Tasmania,2000-01,Brown coal,0.00
Tasmania,2000-01,Crude oil and NGL,0.00
Tasmania,2000-01,Naturally occurring LPG,0.00
Tasmania,2000-01,Natural gas a,0.00
Tasmania,2000-01,Ethane,0.00
Tasmania,2000-01,Liquid/gas biofuels,0.00
Tasmania,2000-01,Wood,717.00
Tasmania,2000-01,Bagasse,0.00
Tasmania,2000-01,Hydro-electricity,10081.00
Tasmania,2000-01,Wind b,0.00
Tasmania,2000-01,Solar PV,0.00
Tasmania,2000-01,Solar hotwater,0.10
Tasmania,2001-02,Black coal,360.00
Tasmania,2001-02,Brown coal,0.00
Tasmania,2001-02,Crude oil and NGL,0.00
Tasmania,2001-02,Naturally occurring LPG,0.00
Tasmania,2001-02,Natural gas a,0.00
Tasmania,2001-02,Ethane,0.00
Tasmania,2001-02,Liquid/gas biofuels,0.00
Tasmania,2001-02,Wood,784.00
Tasmania,2001-02,Bagasse,0.00
Tasmania,2001-02,Hydro-electricity,10213.00
Tasmania,2001-02,Wind b,0.00
Tasmania,2001-02,Solar PV,0.00
Tasmania,2001-02,Solar hotwater,0.10
Tasmania,2002-03,Black coal,343.00
Tasmania,2002-03,Brown coal,0.00
Tasmania,2002-03,Crude oil and NGL,0.00
Tasmania,2002-03,Naturally occurring LPG,0.00
Tasmania,2002-03,Natural gas a,0.00
Tasmania,2002-03,Ethane,0.00
Tasmania,2002-03,Liquid/gas biofuels,0.00
Tasmania,2002-03,Wood,614.10
Tasmania,2002-03,Bagasse,0.00
Tasmania,2002-03,Hydro-electricity,9997.00
Tasmania,2002-03,Wind b,0.00
Tasmania,2002-03,Solar PV,0.00
Tasmania,2002-03,Solar hotwater,0.00
Tasmania,2003-04,Black coal,350.00
Tasmania,2003-04,Brown coal,0.00
Tasmania,2003-04,Crude oil and NGL,0.00
Tasmania,2003-04,Naturally occurring LPG,0.00
Tasmania,2003-04,Natural gas a,0.00
Tasmania,2003-04,Ethane,0.00
Tasmania,2003-04,Liquid/gas biofuels,0.00
Tasmania,2003-04,Wood,604.00
Tasmania,2003-04,Bagasse,0.00
Tasmania,2003-04,Hydro-electricity,9898.00
Tasmania,2003-04,Wind b,0.00
Tasmania,2003-04,Solar PV,0.00
Tasmania,2003-04,Solar hotwater,0.00
Tasmania,2004-05,Black coal,388.00
Tasmania,2004-05,Brown coal,0.00
Tasmania,2004-05,Crude oil and NGL,0.00
Tasmania,2004-05,Naturally occurring LPG,0.00
Tasmania,2004-05,Natural gas a,0.00
Tasmania,2004-05,Ethane,0.00
Tasmania,2004-05,Liquid/gas biofuels,0.00
Tasmania,2004-05,Wood,588.10
Tasmania,2004-05,Bagasse,0.00
Tasmania,2004-05,Hydro-electricity,9620.00
Tasmania,2004-05,Wind b,0.00
Tasmania,2004-05,Solar PV,0.00
Tasmania,2004-05,Solar hotwater,0.00
Tasmania,2005-06,Black coal,420.30
Tasmania,2005-06,Brown coal,0.00
Tasmania,2005-06,Crude oil and NGL,0.00
Tasmania,2005-06,Naturally occurring LPG,0.00
Tasmania,2005-06,Natural gas a,0.00
Tasmania,2005-06,Ethane,0.00
Tasmania,2005-06,Liquid/gas biofuels,0.00
Tasmania,2005-06,Wood,551.20
Tasmania,2005-06,Bagasse,0.00
